CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,Unknown / Data Issue,1
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Home Visit,1 Day,2
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Home Visit,15  to 21 Days,1
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Home Visit,2 to 7 Days,1
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Home Visit,8  to 14 Days,1
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Home Visit,Same Day,1
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,1 Day,24
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,15  to 21 Days,3
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,2 to 7 Days,23
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,22  to 28 Days,6
